Dish Name,Calories (kcal),Carbohydrates (g) per 100kcal,Protein (g) per 100kcal,Fats (g) per 100kcal,Free Sugar (g) per 100kcal,Fibre (g) per 100kcal,Sodium (mg) per 100kcal,Calcium (mg) per 100kcal,Iron (mg) per 100kcal,Vitamin C (mg) per 100kcal,Food Name,Type,Recommended Meal
Hot tea (Garam Chai),16.14,15.98513011,2.416356877,3.283767038,15.98513011,0.0,19.33085502,87.98017348,0.123915737,3.097893432,Hot tea (Garam Chai),Veg,Any
Instant coffee,23.16,15.75993092,2.763385147,3.238341969,15.63039724,0.0,21.24352332,90.11226252,0.259067358,6.519861831,Instant coffee,Veg,Any
Espreso coffee,51.54,12.8443927,3.395421032,4.152114862,12.66977105,0.0,27.12456345,112.7279783,0.291036088,2.929763291,,,
Iced tea,10.34,26.11218569,0.290135397,0.096711799,26.11218569,0.0,2.224371373,11.41199226,0.193423598,57.54352031,Iced tea,Veg,Any
Raw mango drink (Aam panna),35.92,25.19487751,0.445434298,0.083518931,20.8518931,1.698218263,222.2160356,19.71046771,0.389755011,126.1135857,Raw mango drink (Aam panna),Veg,Any
Fruit Punch (with fresh juices),36.12,25.96899225,0.387596899,0.083056478,25.60908084,0.166112957,7.281284607,14.03654485,0.276854928,114.7286822,Fruit Punch (with fresh juices),Veg,Any
Fruit Punch (with squashes),23.13,25.89710333,0.302637268,0.086467791,25.42153048,0.734976221,9.770860355,14.26718547,0.259403372,65.19671422,Fruit Punch (with squashes),Veg,Any
Lemonade,20.8,26.34615385,0.144230769,0.048076923,26.29807692,0.096153846,137.1153846,8.846153846,0.240384615,25.33653846,Lemonade,Veg,Any
Lem-o-gin,21.52,25.78996283,0.371747212,0.139405204,25.0,0.604089219,130.7156134,10.22304833,0.418215613,26.39405204,Lem-o-gin,Veg,Any
Cumin infused water (Jeere/Zeere ka pani),9.09,20.4620462,1.870187019,1.210121012,16.06160616,5.060506051,2085.808581,119.2519252,3.520352035,39.7139714,Cumin infused water (Jeere/Zeere ka pani),Veg,Any
Coco pine cooler,32.75,17.46564885,1.709923664,3.053435115,16.85496183,0.79389313,70.83969466,54.38167939,0.396946565,32.58015267,Coco pine cooler,Veg,Any
Summer cooler,22.43,24.20864913,1.64957646,0.17833259,23.22781988,0.891662951,6.999554169,36.24609897,1.248328132,461.4355774,Summer cooler,Veg,Any
Hot cocoa,90.1,10.24417314,3.729189789,5.061043285,10.0,0.0,26.8590455,126.1487236,0.344062153,4.017758047,Hot cocoa,Veg,Any
Cold coffee with ice cream,67.85,16.56595431,2.313927782,3.109801032,16.47752395,0.014738394,20.39793662,78.54089904,0.176860722,3.728813559,Cold coffee with ice cream,Veg,Any
Banana milkshake (Kele milkshake),65.31,14.01010565,2.817332721,3.628847037,12.18802634,0.398101363,20.83907518,95.91180524,0.199050681,10.47312816,Banana milkshake (Kele milkshake),Veg,Any
Mango milkshake (Aam milkshake),56.9,12.70650264,3.040421793,4.130052724,12.5659051,0.456942004,23.32161687,109.543058,0.263620387,35.32513181,Mango milkshake (Aam milkshake),Veg,Any
Pineapple milkshake (Ananas milkshake),55.72,13.67552046,2.979181622,4.002153625,13.6396267,0.0,25.21536253,107.5376884,0.19741565,18.34170854,Pineapple milkshake (Ananas milkshake),Veg,Any
Orange milkshake (Narangi milkshake),57.42,12.38244514,3.239289446,4.388714734,12.33019854,0.0,25.4789272,117.4155347,0.191570881,18.8436085,Orange milkshake (Narangi milkshake),Veg,Any
Egg nog,97.14,8.389952646,4.920732963,5.260448837,8.297302862,0.020588841,41.84681902,105.1369158,0.442660078,4.961910644,Egg nog,Non-Veg,Any
Sweet Lassi (Meethi lassi),35.66,18.25574874,3.617498598,1.906898486,18.25574874,0.0,51.34604599,128.0145822,0.084127874,2.804262479,Sweet Lassi (Meethi lassi),Veg,Any
Lassi (salted),18.84,9.872611465,7.165605096,3.821656051,9.766454352,0.106157113,347.133758,253.6093418,0.212314225,5.414012739,Lassi (salted),Veg,Any
Cheese and chilli sandwich,218.11,12.56246848,3.117692907,4.483975975,1.091192518,0.953647242,200.5868598,52.17092293,0.453899409,5.639356288,Cheese and chilli sandwich,Veg,Breakfast
Egg sandwich (Ande ka sandwich),285.96,10.19723038,3.038886558,5.525248286,0.650440621,0.657434606,161.4456567,38.51237935,0.503566932,0.0,Egg sandwich (Ande ka sandwich),Non-Veg,Breakfast
Cucumber sandwich (Kheere ka sandwich),188.6,13.66383881,2.545068929,4.241781548,0.869565217,1.299045599,192.2799576,46.5747614,0.540827147,0.811240721,Cucumber sandwich (Kheere ka sandwich),Veg,Breakfast
